resource,object,code,fund,goal,function,Bayshore Elementary (68858),Belmont-Redwood Shores Elementary (68866),Brisbane Elementary (68874),Burlingame Elementary (68882),Cabrillo Unified (68890),Hillsborough City Elementary (68908),Jefferson Elementary (68916),Pacifica Elementary (68932),La Honda-Pescadero Unified (68940),Las Lomitas Elementary (68957),Menlo Park City Elementary (68965),Millbrae Elementary (68973),Portola Valley Elementary (68981),Ravenswood City Elementary (68999),Redwood City Elementary (69005),San Bruno Park Elementary (69013),San Carlos Elementary (69021),San Mateo-Foster City Elementary (69039),South San Francisco Unified (69070),Woodside Elementary (69088),Alum Rock Union Elementary (69369),Berryessa Union Elementary (69377),Cambrian Elementary (69385),Campbell Union Elementary (69393),Cupertino Union Elementary (69419),Evergreen Elementary (69435),Franklin-McKinley Elementary (69450),Gilroy Unified (69484),Lakeside Joint Elementary (69492),Loma Prieta Joint Union Elementary (69500),Los Altos Elementary (69518),Los Gatos Union Elementary (69526),Luther Burbank Elementary (69542),Moreland Elementary (69575),Morgan Hill Unified (69583),Mountain View Whisman Elementary (69591),Mount Pleasant Elementary (69617),Oak Grove Elementary (69625),Orchard Elementary (69633),Palo Alto Unified (69641),San Jose Unified (69666),Santa Clara Unified (69674),Saratoga Union Elementary (69682),Sunnyvale Elementary (69690),Union Elementary (69708),Milpitas Unified (73387)
Unrestricted,LCFF State Aid - Current Year,8011,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),4090058,253946,182688,31252361,30011378,172044,59058626,27691507,213482,785612,1632380,21149893,412869,4075155,13129253,553758,1607153,7821366,3356626,412955,79448566.6,27985769.25,10617854,14642853,42559240.82,43746272,54597749.65,58864799.7,133641,209738,755293,121495,4575667,18558643,22816505,3714457,11310719,57065860,795884,5724242,67598226,9818349,324666,2907954,19388229,34512662
Education Protection Account,Education Protection Account State Aid - Current Year,8012,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),345326,3728025,88602,2644641,2389065,246958,4307062,0.0,54742,226598,554428,2068999,101396,589864,1324450,443348,560580,2155862,1555128,70838,0.0,2643881,499899,1192822,3083130,4552111,4795572,7636059,13892,90520,737622,550234,325934,379823,1575106,947378,3039821,7278234,157680,2161988,5265712,2844018,327926,1177990,1118450,1985878
Education Protection Account,Education Protection Account State Aid - Current Year,8012,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6536554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unrestricted,LCFF/Revenue Limit State Aid - Prior Years,8019,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),-46452,-2970045,0.0,-410182,0.0,0.0,-824208,-359507,0.0,6902,0.0,-280232,1291,-231834,301384.05,0.0,1928,0.0,0.0,0.0,351900.57,37841.89,-1022403,151027,0.0,35734,23307,584381.74,0.0,0.0,0.0,0.0,1790,513597,213457.49,0.0,-151921,59655,0.0,89836,155166,0.0,0.0,0.0,-219,32318.77
Education Protection Account,LCFF/Revenue Limit State Aid - Prior Years,8019,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,-34,0.0,684003,0.0,0.0,0.0,0.0,-368,0.0,0.0,340,0.0,31841,0.0,280,0.0,0.0,0.0,0.0,29834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144,0.0,-120044,0.0,0.0,0.0,0.0,876,0.0,0.0,0.0,0.0
Unrestricted,Homeowners' Exemptions,8021,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),8925.78,110193.16,27902.12,78388.01,87092.29,70862.13,102266.25,56779.05,13780.29,72468.9,120174.42,47966.62,41124.23,91671.35,249320.75,74774.89,85766.16,349941.25,360228.74,27238.42,100200.06,120151.94,59563.32,208634.34,386055,166973.16,103778.46,185105.38,6880.04,20369.78,166457.22,106628.98,4243.52,93951.92,233881.85,228144.88,26066.3,124948.48,37744.26,638533.54,893056.78,842775.64,95167,268262.96,110867.08,266358.48
Unrestricted,Timber Yield Tax,8022,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,29100.58,0.0,0.0,0.0,17516.35,0.0,0.0,0.0,306.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.38,266.62,808.66,0.0,383.4,0.0,0.0,343.74,581.71,0.0,0.0,0.0,0.0,0.0,0.0,225.85,0.0,0.0,0.0
Unrestricted,Other Subventions/In-Lieu Taxes,8029,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,7947,0.0,0.0,526.98,0.0,0.0,0.0,0.0,296.26,0.0,4016.87,0.0,0.0,0.0,5609.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unrestricted,Secured Roll Taxes,8041,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),949415.97,37075286.88,7950388.16,26666190.02,29542781.14,23927074.11,33355248.71,19075293.92,4696935.66,24463003.73,39512840.43,13659974.74,13892948,18554006.38,72863520.15,20415252.38,29572673.82,112694660.3,86768265.01,9200343.32,32380419.83,38383315.03,19407586.48,68902854.4,129918797.02,55571670.64,31428320.6,61758605.15,1606775.38,4652186.99,57248496.2,32620773.98,1368547.8,31398686.16,60832807.86,64550005.6,8559370.47,29034896.12,3795209.3,219965708.94,268614351.92,239323506.73,32761341.32,87759513.69,37085469.11,52893777.79
Unrestricted,Unsecured Roll Taxes,8042,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),52755.5,1431524.83,220762.27,1030894.9,1161168.1,931920.57,1251929.73,746525.18,181227.35,953051.35,1575691.72,603175.39,540832.21,-347306.84,1943215.83,1633218.42,995746.85,4273608.87,607627.4,358217.35,1785033.61,2156978.91,1073974.12,3866027.64,6985760.95,2991895.12,1821753.56,3325385.35,43941.37,115516.95,3084582.9,1975927.8,73472.5,1688629.64,4394037.5,4227088.58,460105.07,2216677.64,699471.03,12082303.53,20333361.35,15616947.69,1763546.08,4971130.34,1995438.07,4832545.89
